10:24:07.322 | INFO     | ============================================================
10:24:07.322 | INFO     | INIT | circuit=Parcours 7 segments | start=(25,10) | angle=0°
10:24:09.639 | DEBUG    | FUZZY | pos=(130,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.656 | DEBUG    | FUZZY | pos=(133,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.673 | DEBUG    | FUZZY | pos=(136,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.690 | DEBUG    | FUZZY | pos=(139,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.705 | DEBUG    | FUZZY | pos=(142,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.722 | DEBUG    | FUZZY | pos=(145,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.738 | DEBUG    | FUZZY | pos=(148,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.755 | DEBUG    | FUZZY | pos=(151,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.772 | DEBUG    | FUZZY | pos=(154,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.788 | DEBUG    | FUZZY | pos=(157,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.805 | DEBUG    | FUZZY | pos=(160,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.820 | DEBUG    | FUZZY | pos=(163,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.836 | DEBUG    | FUZZY | pos=(166,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.852 | DEBUG    | FUZZY | pos=(169,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.869 | DEBUG    | FUZZY | pos=(172,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.887 | DEBUG    | FUZZY | pos=(175,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:24:09.903 | DEBUG    | FUZZY | pos=(178,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
