10:11:29.004 | INFO     | ============================================================
10:11:29.004 | INFO     | INIT | circuit=Parcours 7 segments | start=(25,10) | angle=0°
10:11:30.936 | DEBUG    | FUZZY | pos=(25,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:30.952 | DEBUG    | FUZZY | pos=(28,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:30.968 | DEBUG    | FUZZY | pos=(31,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:30.985 | DEBUG    | FUZZY | pos=(34,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.002 | DEBUG    | FUZZY | pos=(37,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.018 | DEBUG    | FUZZY | pos=(40,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.035 | DEBUG    | FUZZY | pos=(43,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.051 | DEBUG    | FUZZY | pos=(46,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.067 | DEBUG    | FUZZY | pos=(49,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.085 | DEBUG    | FUZZY | pos=(52,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.102 | DEBUG    | FUZZY | pos=(55,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.119 | DEBUG    | FUZZY | pos=(58,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.135 | DEBUG    | FUZZY | pos=(61,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.152 | DEBUG    | FUZZY | pos=(64,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.168 | DEBUG    | FUZZY | pos=(67,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.185 | DEBUG    | FUZZY | pos=(70,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.201 | DEBUG    | FUZZY | pos=(73,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.218 | DEBUG    | FUZZY | pos=(76,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.235 | DEBUG    | FUZZY | pos=(79,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.252 | DEBUG    | FUZZY | pos=(82,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.268 | DEBUG    | FUZZY | pos=(85,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.284 | DEBUG    | FUZZY | pos=(88,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.300 | DEBUG    | FUZZY | pos=(91,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.316 | DEBUG    | FUZZY | pos=(94,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.333 | DEBUG    | FUZZY | pos=(97,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.349 | DEBUG    | FUZZY | pos=(100,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.366 | DEBUG    | FUZZY | pos=(103,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.384 | DEBUG    | FUZZY | pos=(106,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.400 | DEBUG    | FUZZY | pos=(109,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.418 | DEBUG    | FUZZY | pos=(112,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.434 | DEBUG    | FUZZY | pos=(115,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.451 | DEBUG    | FUZZY | pos=(118,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.466 | DEBUG    | FUZZY | pos=(121,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.482 | DEBUG    | FUZZY | pos=(124,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.500 | DEBUG    | FUZZY | pos=(127,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.516 | DEBUG    | FUZZY | pos=(130,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.532 | DEBUG    | FUZZY | pos=(133,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.549 | DEBUG    | FUZZY | pos=(136,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.566 | DEBUG    | FUZZY | pos=(139,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.583 | DEBUG    | FUZZY | pos=(142,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.599 | DEBUG    | FUZZY | pos=(145,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.618 | DEBUG    | FUZZY | pos=(148,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.633 | DEBUG    | FUZZY | pos=(151,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.651 | DEBUG    | FUZZY | pos=(154,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.666 | DEBUG    | FUZZY | pos=(157,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.682 | DEBUG    | FUZZY | pos=(160,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.699 | DEBUG    | FUZZY | pos=(163,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.714 | DEBUG    | FUZZY | pos=(166,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.731 | DEBUG    | FUZZY | pos=(169,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.748 | DEBUG    | FUZZY | pos=(172,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.766 | DEBUG    | FUZZY | pos=(175,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.783 | DEBUG    | FUZZY | pos=(178,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.799 | DEBUG    | FUZZY | pos=(181,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.816 | DEBUG    | FUZZY | pos=(184,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.833 | DEBUG    | FUZZY | pos=(187,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.850 | DEBUG    | FUZZY | pos=(190,10) | angle=0.0° | G=1 D=1 delta=0 | mu_N=0.00 mu_Z=1.00 mu_P=0.00 | da=0.00°
10:11:31.866 | DEBUG    | FUZZY | pos=(193,10) | angle=0.0° | G=1 D=255 delta=254 | mu_N=0.00 mu_Z=0.00 mu_P=1.00 | da=28.00°
10:11:31.882 | DEBUG    | FUZZY | pos=(196,11) | angle=28.0° | G=3 D=0 delta=-3 | mu_N=0.03 mu_Z=0.95 mu_P=0.00 | da=4.88°
10:11:31.898 | DEBUG    | FUZZY | pos=(198,13) | angle=32.9° | G=7 D=1 delta=-6 | mu_N=0.05 mu_Z=0.90 mu_P=0.00 | da=-0.50°
10:11:31.916 | DEBUG    | FUZZY | pos=(201,15) | angle=32.4° | G=7 D=1 delta=-6 | mu_N=0.05 mu_Z=0.90 mu_P=0.00 | da=-1.57°
10:11:31.933 | DEBUG    | FUZZY | pos=(203,16) | angle=30.8° | G=7 D=3 delta=-4 | mu_N=0.03 mu_Z=0.93 mu_P=0.00 | da=-1.28°
10:11:31.950 | DEBUG    | FUZZY | pos=(206,18) | angle=29.5° | G=3 D=7 delta=4 | mu_N=0.00 mu_Z=0.93 mu_P=0.03 | da=0.71°
10:11:31.968 | DEBUG    | FUZZY | pos=(208,19) | angle=30.2° | G=1 D=15 delta=14 | mu_N=0.00 mu_Z=0.77 mu_P=0.12 | da=3.84°
10:11:31.986 | DEBUG    | FUZZY | pos=(211,21) | angle=34.1° | G=1 D=15 delta=14 | mu_N=0.00 mu_Z=0.77 mu_P=0.12 | da=4.47°
10:11:32.002 | DEBUG    | FUZZY | pos=(213,23) | angle=38.5° | G=0 D=15 delta=15 | mu_N=0.00 mu_Z=0.75 mu_P=0.12 | da=4.89°
10:11:32.020 | DEBUG    | FUZZY | pos=(215,25) | angle=43.4° | G=0 D=15 delta=15 | mu_N=0.00 mu_Z=0.75 mu_P=0.12 | da=4.98°
10:11:32.036 | DEBUG    | FUZZY | pos=(217,27) | angle=48.4° | G=0 D=15 delta=15 | mu_N=0.00 mu_Z=0.75 mu_P=0.12 | da=5.00°
10:11:32.052 | DEBUG    | FUZZY | pos=(219,29) | angle=53.4° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.73°
10:11:32.068 | DEBUG    | FUZZY | pos=(221,32) | angle=56.1° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.28°
10:11:32.085 | DEBUG    | FUZZY | pos=(223,34) | angle=58.4° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.19°
10:11:32.113 | DEBUG    | FUZZY | pos=(224,37) | angle=60.6° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.17°
10:11:32.124 | DEBUG    | FUZZY | pos=(225,40) | angle=62.8° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.17°
10:11:32.137 | DEBUG    | FUZZY | pos=(227,42) | angle=65.0° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.17°
10:11:32.153 | DEBUG    | FUZZY | pos=(228,45) | angle=67.1° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.17°
10:11:32.170 | DEBUG    | FUZZY | pos=(229,48) | angle=69.3° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.90 mu_P=0.05 | da=1.91°
10:11:32.186 | DEBUG    | FUZZY | pos=(230,51) | angle=71.2° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.90 mu_P=0.05 | da=1.86°
10:11:32.203 | DEBUG    | FUZZY | pos=(231,54) | angle=73.1° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.90 mu_P=0.05 | da=1.84°
10:11:32.219 | DEBUG    | FUZZY | pos=(231,57) | angle=74.9° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.90 mu_P=0.05 | da=1.84°
10:11:32.237 | DEBUG    | FUZZY | pos=(232,60) | angle=76.7° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.90 mu_P=0.05 | da=1.84°
10:11:32.253 | DEBUG    | FUZZY | pos=(233,63) | angle=78.6° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.10°
10:11:32.270 | DEBUG    | FUZZY | pos=(233,65) | angle=80.7° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.16°
10:11:32.287 | DEBUG    | FUZZY | pos=(234,68) | angle=82.8° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.17°
10:11:32.302 | DEBUG    | FUZZY | pos=(234,71) | angle=85.0° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.17°
10:11:32.318 | DEBUG    | FUZZY | pos=(234,74) | angle=87.2° | G=0 D=7 delta=7 | mu_N=0.00 mu_Z=0.88 mu_P=0.06 | da=2.17°
